dfg
3083	0	6426	5891
3321	3	9425	9258
5160	3	7359	3311
7734	4	67	8150
9354	6	5683	4479
400	9	9645	5968
3888	12	7888	7883
8663	13	4213	699
8638	13	5972	5563
4644	14	9106	7072
9143	15	5950	7219
1365	18	403	2321
982	20	7454	4918
7183	23	2458	4900
8273	24	7231	1564
8391	27	7411	8518
8521	27	2030	6219
3179	32	9705	8005
6211	32	6705	2172
7692	32	2567	4555
6951	33	2800	7972
2010	34	270	9697
6319	36	9757	7382
7641	36	7002	9725
9897	36	3912	526
5386	39	3166	7997
6577	40	758	3939
4870	40	3781	5586
4218	44	3524	7357
6733	45	6733	4245
8307	45	5512	8496
8643	45	3556	5912
4045	47	5344	626
5516	47	3146	2723
9886	47	9496	1730
5738	50	9201	1690
1079	53	1353	965
8015	53	8122	1674
7318	54	9542	2795
4052	59	7542	790
4212	59	1419	6722
985	60	8957	8355
5800	63	4401	7668
225	64	30	4166
3872	66	4766	5307
759	68	4259	4386
437	70	9778	6026
8318	70	8910	3584
2677	71	4497	1672
9689	71	2342	5642
9200	73	9116	2651
546	74	6918	1652
3430	74	3564	9321
527	74	2096	7753
7866	74	2205	1873
7439	75	561	1312
7411	76	2069	9007
962	80	6584	152
8878	82	6353	7105
5469	84	9934	5356
2776	85	5168	9932
6677	86	8186	1371
8557	87	7593	3337
1258	87	7201	4943
7807	88	808	7543
7732	89	2267	7251
8239	92	726	6690
7144	92	9202	2939
8910	92	6667	8156
174	92	4636	3643
3090	94	2945	3988
3290	95	2206	5641
6818	96	3453	7258
3125	98	8754	5768
3377	98	4191	5624
4454	98	2539	450
3605	99	7485	1939
5148	99	2522	6631
9300	100	4627	3400
1256	100	1094	6162
2330	102	6399	3274
4734	102	5299	5060
5771	102	3332	8723
7343	103	6443	5979
1464	106	1742	8304
3008	106	766	5213
6591	109	5657	1958
7745	109	3875	5692
5698	111	5346	797
7154	113	6499	3251
1262	114	9117	4592
6097	114	4179	5376
3598	117	3402	2518
4174	118	4396	4696
952	122	751	2674
1719	122	4869	91
8185	123	8310	8216
1668	124	8844	3244
8370	129	1372	2040
6723	130	3577	3172
7233	130	3592	5154
7714	131	691	9711
9627	131	5471	1306
6154	133	4738	7764
1042	135	5457	2506
3729	135	2422	6067
9331	135	5948	8807
4512	136	9856	6936
3503	137	322	7417
7181	139	2365	3768
4823	140	3361	5450
9353	141	238	2609
2291	143	2709	8554
5622	144	7035	6207
664	145	7936	7110
1504	145	3944	2729
2108	145	76	5798
2720	145	5879	8842
7602	145	327	8023
8135	145	3779	7900
7022	146	9686	6566
252	153	3692	4357
2874	153	7361	6546
7593	155	2459	349
8087	155	4410	5836
6491	156	589	7436
9615	156	9467	4924
4465	156	4793	8486
9618	157	4447	2278
6984	157	8972	9279
8149	158	2444	5570
7125	158	2146	2151
2181	161	7972	3642
2953	161	3208	8976
9230	161	5165	2661
4775	162	8110	1622
8529	162	1281	5630
1227	163	709	9620
2455	163	6263	8339
8800	163	4678	3217
6603	165	5331	6534
2999	166	5766	3271
2633	166	431	4332
320	167	5032	7211
6826	170	3841	2975
5732	171	862	4338
7611	172	5869	8689
9330	172	7646	1938
1359	173	2663	6872
3009	173	8936	9873
9528	174	2844	8964
7253	175	6812	7341
4815	176	8704	1432
7446	176	2237	6266
8489	178	7340	6706
4134	179	9292	8690
8634	184	4874	2109
7798	184	5224	4503
9269	184	9953	8009
3410	185	254	4993
7213	187	6568	3965
5767	188	8424	8914
4295	189	520	1860
5103	189	6163	880
8347	189	558	1968
5822	190	5660	3186
7825	191	2807	8923
1846	192	4250	9867
7684	193	4331	4782
3147	195	6782	2519
4330	196	1638	7031
5038	197	4846	1601
9901	198	2172	1222
3711	203	2110	5807
2942	204	8161	1371
5069	204	5949	6881
6184	204	3831	2698
6742	204	1848	5374
8001	204	4880	1507
9293	204	9111	9184
604	205	3628	9118
9442	206	4391	390
7562	211	3917	3083
9536	211	1107	9673
9825	212	3317	4139
4185	213	365	8816
5949	213	6119	6841
5884	214	6617	2491
9062	217	2882	1102
5018	220	9179	989
9255	220	2792	2753
4512	221	9932	6344
5514	223	8502	8870
1037	226	1597	901
2286	227	4844	501
4892	227	7708	1948
8299	229	9005	3053
2515	233	3894	555
2073	236	5222	950
9902	236	5803	2211
3234	237	6825	7109
2808	238	899	6694
2846	241	1325	6962
2950	242	7211	2006
3478	243	4368	4265
4318	243	640	7797
9672	243	663	3616
5332	246	9258	7118
6677	246	1953	318
7530	246	7569	8393
4404	247	2618	5058
2302	248	8022	3690
3411	248	5727	6387
3408	248	6623	7675
4084	248	5125	9108
311	249	4742	9999
6326	249	641	6075
9026	251	726	5786
2189	252	532	2466
2261	252	593	5677
4236	253	1028	3979
8883	253	2593	3886
8347	254	7678	5511
6037	254	7094	461
7415	255	4434	5200
8990	258	3942	1715
3362	259	1440	9924
8742	260	7878	7477
4569	261	3398	7846
4707	262	1574	6205
9004	263	2964	1606
9453	263	6857	6413
3024	268	7785	3645
6228	268	1125	189
8773	269	2879	1185
2924	269	4792	9533
2250	270	5826	5308
980	271	1335	2077
3149	271	9571	6973
8859	273	3115	8072
3335	274	9317	653
6167	274	8956	6030
8386	274	4709	1289
8808	281	2596	8582
2359	282	4186	5592
9736	282	3091	2001
79	285	6479	4825
8108	287	3629	8225
5219	287	6684	7017
8819	288	3573	1286
8910	288	9874	521
9492	288	8493	2375
5239	292	1588	2239
282	293	5292	1519
5847	293	5720	1021
1126	294	8878	4807
7727	296	4869	3964
4952	297	5260	4647
1354	297	4530	3861
242	301	2498	4777
4507	302	3822	9285
2268	303	2660	3383
4884	303	823	2290
6835	303	9628	1822
7701	303	3399	946
9059	303	4680	2382
6289	304	3974	1237
7626	304	8785	3260
4002	305	8839	6847
612	306	9584	490
7941	309	243	3319
6443	311	8990	61
4273	312	5330	6581
794	312	8750	8869
1064	312	4974	5339
8376	313	5895	2014
1712	317	4624	9495
1819	319	2770	4986
1625	320	4885	7210
7588	320	8495	9723
5929	321	9666	2547
5681	323	3957	5295
8247	324	7308	4374
1678	325	3600	3064
6541	328	7694	1236
4176	328	5076	7336
6709	328	6050	2319
5964	330	595	6919
4081	333	5542	5276
9676	333	5129	3412
9321	335	4490	9830
1162	336	1895	1746
6421	336	196	4123
8691	336	5362	3258
3344	337	5321	8675
3467	338	9422	8621
3478	339	743	7988
3095	340	812	1690
7616	340	1461	5741
7195	341	1192	4199
9036	342	2911	3102
9481	342	4238	1738
7716	342	6301	2430
3106	345	5466	8319
7950	345	8465	8283
89	346	4800	8174
6577	346	6673	5596
729	349	7709	8872
4040	349	181	4632
8575	350	4514	4713
1023	351	940	1052
5710	352	683	3903
1944	353	2516	8383
3018	354	3455	3768
7196	354	5220	510
4095	355	1674	1943
6171	355	690	7538
7315	356	2534	365
6596	358	7533	7603
5961	361	8463	5780
2360	362	3035	7686
5536	362	5839	8310
6683	362	6710	502
9982	362	3441	5577
268	363	1382	8729
2753	363	817	6864
4105	365	3935	8827
2441	367	288	2785
4879	370	3553	8023
7091	371	5287	7029
8639	373	4760	4792
7998	375	9571	5545
2374	375	4630	442
4074	376	5596	3022
4060	377	7163	1983
8689	378	2144	8004
895	379	6639	39
3267	380	6155	6347
5848	382	5607	6618
2368	383	8	1724
8055	387	7556	5024
2542	390	9744	952
4191	390	5793	891
66	392	4963	2970
913	393	1610	7113
4649	393	609	9382
7023	393	9402	2742
5325	395	1422	1081
3981	397	8929	8421
4565	397	9730	8667
1053	399	4782	7996
3152	399	6944	2937
9607	399	7962	9129
422	401	8086	1984
4842	401	5603	7126
5758	401	7583	7812
